epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.826,1.57536,3.70844,1.6931,0.01373,0.87132,0.1242,0.05987,1.58526,3.69569,1.6729,0.000216775,0.000216775,0.000216775
2,1089.95,1.58858,3.00124,1.66346,0.55613,0.20805,0.25527,0.12045,1.67907,3.16629,1.71422,0.000424618,0.000424618,0.000424618
3,1603.54,1.60396,2.70213,1.66797,0.38502,0.44628,0.35588,0.16829,1.73566,2.60527,1.79499,0.000617787,0.000617787,0.000617787
4,2284.65,1.63306,2.54378,1.70857,0.45701,0.40191,0.41052,0.19566,1.74312,2.54428,1.83401,0.000600967,0.000600967,0.000600967
5,3051.5,1.60803,2.30217,1.66186,0.50024,0.38741,0.4323,0.20399,1.77917,2.3218,1.84126,0.000578956,0.000578956,0.000578956
6,3559.45,1.59871,2.26049,1.63926,0.53071,0.4928,0.51852,0.24621,1.72476,2.1243,1.79735,0.000556945,0.000556945,0.000556945
7,4035.67,1.55483,2.03758,1.62385,0.53152,0.41956,0.45414,0.20691,1.74541,2.16565,1.7707,0.000534934,0.000534934,0.000534934
8,4515.23,1.56452,2.07137,1.63583,0.455,0.57324,0.5429,0.27601,1.68668,2.10171,1.74034,0.000512923,0.000512923,0.000512923
9,4977.67,1.57351,2.03661,1.621,0.4894,0.50555,0.50043,0.24834,1.74575,2.25521,1.79625,0.000490912,0.000490912,0.000490912
10,5389.81,1.52915,1.92186,1.5839,0.60693,0.56495,0.56954,0.28021,1.68567,1.92985,1.76061,0.000468901,0.000468901,0.000468901
11,5800.53,1.51337,1.84437,1.58993,0.59792,0.50537,0.55772,0.26741,1.70787,1.94436,1.78052,0.00044689,0.00044689,0.00044689
12,6241.15,1.51124,1.81823,1.56047,0.63031,0.58408,0.61498,0.3169,1.68251,1.84076,1.75211,0.000424879,0.000424879,0.000424879
13,6699.86,1.49448,1.74922,1.56118,0.56372,0.63769,0.65487,0.33963,1.65411,1.83618,1.70581,0.000402868,0.000402868,0.000402868
14,7165.41,1.47941,1.71211,1.53821,0.67931,0.60726,0.6728,0.35638,1.6636,1.78761,1.72842,0.000380857,0.000380857,0.000380857
15,7636.82,1.47536,1.73244,1.53876,0.58114,0.62472,0.63053,0.32461,1.65172,1.82059,1.70719,0.000358846,0.000358846,0.000358846
16,8121.3,1.47897,1.6233,1.50849,0.59169,0.68863,0.65637,0.33673,1.6455,1.73812,1.68045,0.000336835,0.000336835,0.000336835
17,8574.77,1.45756,1.58993,1.49335,0.62641,0.66329,0.65605,0.35119,1.66124,1.82885,1.70209,0.000314824,0.000314824,0.000314824
18,9030.29,1.41551,1.55094,1.49305,0.59736,0.57613,0.61395,0.32186,1.65798,1.83385,1.70219,0.000292813,0.000292813,0.000292813
19,9488.29,1.43265,1.52374,1.5091,0.58779,0.68895,0.64998,0.33791,1.66274,1.71247,1.70605,0.000270802,0.000270802,0.000270802
20,9929.03,1.38829,1.49083,1.47553,0.65866,0.65878,0.67748,0.36245,1.64901,1.5703,1.70556,0.000248791,0.000248791,0.000248791
21,10362.8,1.44041,1.65196,1.57376,0.6357,0.67236,0.66257,0.35544,1.63133,1.62583,1.70839,0.00022678,0.00022678,0.00022678
22,10801.5,1.36405,1.53,1.50607,0.65196,0.63913,0.66989,0.36241,1.612,1.63657,1.689,0.000204769,0.000204769,0.000204769
23,11233.7,1.36788,1.46661,1.52542,0.67541,0.6369,0.6915,0.37324,1.61863,1.51377,1.68064,0.000182758,0.000182758,0.000182758
24,11671.7,1.34757,1.42365,1.4874,0.67674,0.66893,0.6968,0.37643,1.6513,1.60232,1.69562,0.000160747,0.000160747,0.000160747
25,12116.3,1.34206,1.38111,1.48951,0.6282,0.70952,0.70224,0.38083,1.64566,1.52936,1.70682,0.000138736,0.000138736,0.000138736
26,12555.9,1.33485,1.32002,1.47884,0.61501,0.6693,0.67576,0.37109,1.65208,1.55794,1.71244,0.000116725,0.000116725,0.000116725
27,12998.1,1.34738,1.344,1.5005,0.71114,0.65296,0.70548,0.38612,1.64194,1.53158,1.70438,9.4714e-05,9.4714e-05,9.4714e-05
28,13432.7,1.33522,1.30103,1.4654,0.651,0.71358,0.70471,0.38476,1.64104,1.52605,1.69782,7.2703e-05,7.2703e-05,7.2703e-05
29,13871.7,1.30077,1.28309,1.4519,0.70062,0.67966,0.71655,0.39329,1.63401,1.5099,1.68608,5.0692e-05,5.0692e-05,5.0692e-05
30,14303.7,1.29883,1.26601,1.44702,0.7418,0.64608,0.71059,0.39149,1.63825,1.5114,1.68875,2.8681e-05,2.8681e-05,2.8681e-05
